"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
2.39452054794521,2.81917808219178,3.03287671232877,3.78630136986301,4.03287671232877,4.63835616438356,5.03287671232877,5.28169773186616,7.03287671232877,8,8.62739726027397,9.28169773186616,10.8383561643836,11.7835616438356,13.0328767123288,14.7479452054795,18.5315068493151,22.2794520547945,26.0330638520847,29.5330638520847,3.03287671232877,4.63835616438356,5.03287671232877,5.28169773186616,7.03287671232877,8,8.62739726027397,9.28169773186616,13.0328767123288,14.7479452054795
2.39178082191781,2.81643835616438,3.03013698630137,3.78356164383562,4.03013698630137,4.63561643835616,5.03013698630137,5.27895800583876,7.03013698630137,7.9972602739726,8.62465753424657,9.27895800583876,10.8356164383562,11.7808219178082,13.0301369863014,14.7452054794521,18.5287671232877,22.2767123287671,26.0303241260573,29.5303241260573,2.81643835616438,5.03013698630137,5.27895800583876,7.9972602739726,10.8356164383562,11.7808219178082,13.0301369863014,18.5287671232877,22.2767123287671,29.5303241260573
2.38904109589041,2.81369863013699,3.02739726027397,3.78082191780822,4.02739726027397,4.63287671232877,5.02739726027397,5.27621827981136,7.02739726027397,7.99452054794521,8.62191780821918,9.27621827981136,10.8328767123288,11.7780821917808,13.027397260274,14.7424657534247,18.5260273972603,22.2739726027397,26.0275844000299,29.5275844000299,2.38904109589041,4.02739726027397,4.63287671232877,5.02739726027397,7.99452054794521,10.8328767123288,11.7780821917808,14.7424657534247,22.2739726027397,26.0275844000299
2.38630136986301,2.81095890410959,3.02465753424658,3.77808219178082,4.02465753424658,4.63013698630137,5.02465753424658,5.27347855378397,7.02465753424658,7.99178082191781,8.61917808219178,9.27347855378397,10.8301369863014,11.7753424657534,13.0246575342466,14.7397260273973,18.5232876712329,22.2712328767123,26.0248446740025,29.5248446740025,2.38630136986301,3.77808219178082,7.99178082191781,8.61917808219178,9.27347855378397,11.7753424657534,13.0246575342466,18.5232876712329,22.2712328767123,29.5248446740025
2.38356164383562,2.80821917808219,3.02191780821918,3.77534246575342,4.02191780821918,4.62739726027397,5.02191780821918,5.27073882775657,7.02191780821918,7.98904109589041,8.61643835616438,9.27073882775657,10.827397260274,11.772602739726,13.0219178082192,14.7369863013699,18.5205479452055,22.2684931506849,26.0221049479751,29.5221049479751,2.38356164383562,4.02191780821918,5.27073882775657,7.02191780821918,7.98904109589041,10.827397260274,11.772602739726,14.7369863013699,18.5205479452055,22.2684931506849
2.37534246575342,2.8,3.01369863013699,3.76712328767123,4.01369863013699,4.61917808219178,5.01369863013699,5.26251964967438,7.01369863013699,7.98082191780822,8.60821917808219,9.26251964967438,10.8191780821918,11.7643835616438,13.013698630137,14.7287671232877,18.5123287671233,22.2602739726027,26.013885769893,29.513885769893,2.37534246575342,2.8,3.01369863013699,3.76712328767123,7.98082191780822,10.8191780821918,11.7643835616438,13.013698630137,14.7287671232877,22.2602739726027
2.37260273972603,2.7972602739726,3.01095890410959,3.76438356164384,4.01095890410959,4.61643835616438,5.01095890410959,5.25977992364698,7.01095890410959,7.97808219178082,8.60547945205479,9.25977992364698,10.8164383561644,11.7616438356164,13.0109589041096,14.7260273972603,18.5095890410959,22.2575342465753,26.0111460438656,29.5111460438656,3.01095890410959,4.01095890410959,5.01095890410959,7.97808219178082,9.25977992364698,11.7616438356164,13.0109589041096,14.7260273972603,18.5095890410959,29.5111460438656
2.36986301369863,2.79452054794521,3.00821917808219,3.76164383561644,4.00821917808219,4.61369863013699,5.00821917808219,5.25704019761958,7.00821917808219,7.97534246575342,8.6027397260274,9.25704019761958,10.813698630137,11.758904109589,13.0082191780822,14.7232876712329,18.5068493150685,22.2547945205479,26.0084063178382,29.5084063178382,3.00821917808219,4.00821917808219,4.61369863013699,5.00821917808219,7.00821917808219,7.97534246575342,8.6027397260274,10.813698630137,13.0082191780822,26.0084063178382
2.36712328767123,2.79178082191781,3.00547945205479,3.75890410958904,4.00547945205479,4.61095890410959,5.00547945205479,5.25430047159218,7.00547945205479,7.97260273972603,8.6,9.25430047159218,10.8109589041096,11.7561643835616,13.0054794520548,14.7205479452055,18.5041095890411,22.2520547945205,26.0056665918108,29.5056665918108,2.79178082191781,3.00547945205479,3.75890410958904,5.00547945205479,7.00547945205479,7.97260273972603,8.6,10.8109589041096,11.7561643835616,22.2520547945205
2.36438356164384,2.78904109589041,3.0027397260274,3.75616438356164,4.0027397260274,4.60821917808219,5.0027397260274,5.25156074556479,7.0027397260274,7.96986301369863,8.5972602739726,9.25156074556479,10.8082191780822,11.7534246575342,13.0027397260274,14.7178082191781,18.5013698630137,22.2493150684931,26.0029268657834,29.5029268657834,2.36438356164384,3.0027397260274,4.60821917808219,7.0027397260274,7.96986301369863,10.8082191780822,14.7178082191781,18.5013698630137,26.0029268657834,29.5029268657834
